year,side,climate,carbon,timber,standing,fire,owl,cost
2063,South/Dry,Ensemble-rcp85,7638892.78804361,47134.391195712,2766755.73789858,4323.336236,20275.376281,1442153.58323855
2063,North/Moist,GFDLCM3-rcp45,8534538.43196461,59771.900652778,3276859.17059256,1345.167822,10153.446931,1843670.62808272
2063,South/Dry,GFDLCM3-rcp45,7942690.4494302,58784.704900248,3175002.91093927,2716.305004,24652.490794,1832735.52503999
2063,North/Moist,GFDLCM3-rcp85,8338834.59046849,73509.088629663,2900470.76605299,1678.394874,6698.711595,2214429.07333061
2063,South/Dry,GFDLCM3-rcp85,7456554.10540839,45035.39837391,2563532.49275538,6817.562158,17441.628905,1418476.29578824
2063,North/Moist,HadGEM2ES-rcp45,8510716.51864999,61942.053596804,3310143.3528597,1705.390707,9416.556163,1929623.82542281
2063,South/Dry,HadGEM2ES-rcp45,7506468.83579511,56635.280196743,2866822.11028834,6375.47362,21764.909343,1710531.96382629
2063,North/Moist,HadGEM2ES-rcp85,8023222.532133,84052.983895203,2339057.76269656,3717.273149,4270.60183,2511794.07235616
2063,South/Dry,HadGEM2ES-rcp85,6738635.9570781,34512.516873842,1525883.32903023,15716.553104,7106.678022,964407.973675013
2063,North/Moist,NoClimate,9318736.07160049,63030.837180831,3793715.86661636,2685.681099,16966.573518,1947678.71516892
2063,South/Dry,NoClimate,8646394.2522874,55506.109138128,3730116.44167421,2823.670504,35409.427633,1862555.57934381
2068,North/Moist,CCSM4-rcp45,8667161.47419531,64027.113762829,3502918.5280699,2242.084499,11172.366025,1873478.56273134
2068,South/Dry,CCSM4-rcp45,7486576.22226651,54503.556538584,2895333.864305,4316.160484,21800.721585,1572627.33192116
2068,North/Moist,CCSM4-rcp85,8712099.3468695,69967.880799922,3332699.18142577,1487.410346,9302.299476,2328911.35697185
2068,South/Dry,CCSM4-rcp85,8035515.88834889,48562.837611575,3071011.24983217,2447.991608,23009.095534,1724068.07253907
2068,North/Moist,Ensemble-rcp45,8873979.38529799,75425.8288946479,3537550.97447056,1460.987726,11993.987591,2271826.70108269
2068,South/Dry,Ensemble-rcp45,8257444.70403322,43111.272839132,3346012.5092124,3498.185299,26878.452925,1354116.21556254
2068,North/Moist,Ensemble-rcp85,8602454.8398367,78720.97282783,3194674.72411886,1946.004667,9295.948807,2666001.53632899
2068,South/Dry,Ensemble-rcp85,7745055.87211951,39845.212607993,2730261.7360465,4865.60678,19482.524348,1250412.68736054
2068,North/Moist,GFDLCM3-rcp45,8612920.95443361,70653.129857319,3281507.67894318,1386.723103,10240.393667,2230290.33674784
2068,South/Dry,GFDLCM3-rcp45,8132545.48813449,47890.384797164,3254823.17460377,2218.597419,24622.34465,1578250.98252732
2068,North/Moist,GFDLCM3-rcp85,8323334.56172719,69188.67796735,2729924.42950123,1889.732369,6251.610467,2189869.6141864
2068,South/Dry,GFDLCM3-rcp85,7512698.53290641,49361.188257191,2500135.71818425,7536.874223,16411.412045,1585630.76852961
2068,North/Moist,HadGEM2ES-rcp45,8589274.26151928,76426.9148442039,3319899.82593989,1781.028007,9635.838448,2710167.01257031
2068,South/Dry,HadGEM2ES-rcp45,7668589.9327083,42105.745289336,2937569.58257632,5621.679552,22127.28385,1249731.93121
2068,North/Moist,HadGEM2ES-rcp85,7908321.6886264,75437.075153317,2099792.25490096,3573.74116,3878.189844,2287334.6567223
2068,South/Dry,HadGEM2ES-rcp85,6549212.2262038,43092.664668513,1339318.96870006,18685.821053,5878.863303,1422092.14919048
2068,North/Moist,NoClimate,9546272.6106017,64643.354516026,3905821.45506215,2208.917169,17953.221848,2025627.21653146
2068,South/Dry,NoClimate,8974877.25940137,53893.683076941,3902528.65642361,2309.025657,36349.725462,1771621.01474917
2073,North/Moist,CCSM4-rcp45,8804576.423286,72225.370171414,3595671.97083654,1963.49136,11864.190093,2185887.47601086
2073,South/Dry,CCSM4-rcp45,7681206.47862229,46334.925159122,3027052.07520128,3961.322524,22515.699279,1523411.96026626
2073,North/Moist,CCSM4-rcp85,8789465.3989528,68908.370846228,3276978.94660001,1461.971076,8922.944656,2115977.441579
2073,South/Dry,CCSM4-rcp85,8080582.8067604,49634.709774365,2910804.64257395,2676.342386,19700.388943,1675818.68455418
2073,North/Moist,Ensemble-rcp45,8997883.5614767,67953.237772343,3592724.33609849,1341.700425,12557.067544,2172782.97759543
2073,South/Dry,Ensemble-rcp45,8478629.39339101,50577.775045183,3458569.20735789,3202.707263,27145.384952,1624510.56515261
2073,North/Moist,Ensemble-rcp85,8621988.68412382,70071.948067292,3102376.84618586,1585.265332,8817.40578400001,2191869.25565818
2073,South/Dry,Ensemble-rcp85,7791235.34910252,48459.955660845,2631817.63925674,5882.072026,17874.742717,1476817.9192174
2073,North/Moist,GFDLCM3-rcp45,8684113.65520499,64814.878081036,3295705.10889083,1408.628673,10258.434398,2063302.53680051
2073,South/Dry,GFDLCM3-rcp45,8298690.3538102,53719.901365685,3329241.41632626,2422.58321,24746.514787,1651659.72525648
2073,North/Moist,GFDLCM3-rcp85,8279363.980962,59929.617882023,2563609.80878476,1694.700169,5646.849711,1696630.22567171
2073,South/Dry,GFDLCM3-rcp85,7509756.24551971,58639.238548516,2396027.91564364,8633.723842,15103.720596,1711126.13779632
2073,North/Moist,HadGEM2ES-rcp45,8658439.3765736,70606.652507669,3328033.27666055,1702.343431,10248.8435,2358838.82986017
2073,South/Dry,HadGEM2ES-rcp45,7803874.6496681,47946.818424268,2988339.78088793,5185.377282,21948.798595,1576957.05238291
2073,North/Moist,HadGEM2ES-rcp85,7753566.8173397,83668.918147562,1878686.26209725,3971.003562,3340.440354,2540340.41526985
2073,South/Dry,HadGEM2ES-rcp85,6338431.8925467,34866.255228923,1177076.42634939,22442.293649,4362.938667,943860.118335776
2073,North/Moist,NoClimate,9757226.88794631,67353.176504943,4011054.10369704,2131.895965,19313.543342,2184301.74918049
2073,South/Dry,NoClimate,9289969.01703731,51180.322536698,4071218.02764501,1928.894443,37088.968208,1655621.0098445
2078,North/Moist,CCSM4-rcp45,8942084.93076562,68400.82195207,3687540.10809381,1523.495606,12710.065124,2228203.00978676
2078,South/Dry,CCSM4-rcp45,7866558.22028921,50189.714238913,3145330.66403281,3229.68443,22906.866831,1521831.25152544
2078,North/Moist,CCSM4-rcp85,8799675.1742489,79538.473211834,3113533.3358828,1377.774995,8318.569176,2576864.19490751
2078,South/Dry,CCSM4-rcp85,8051222.91210139,39034.170180029,2638351.71496173,3502.125059,16122.406183,1199615.95620652
2078,North/Moist,Ensemble-rcp45,9122988.47233281,56449.312785264,3653064.96290703,985.147144,13194.93862,1852155.12414799
2078,South/Dry,Ensemble-rcp45,8668802.39896659,62096.454580267,3550818.90819938,2563.634747,27402.601448,2007047.83718743
2078,North/Moist,Ensemble-rcp85,8596246.7131748,72227.714443032,2939901.01844304,1606.535748,7875.995198,2149527.91142961
2078,South/Dry,Ensemble-rcp85,7776303.06397038,46328.958769487,2453726.61213221,7366.082833,15421.45492,1465819.67274909
2078,North/Moist,GFDLCM3-rcp45,8748059.9149642,62622.893857876,3308592.53423546,1320.190398,10691.129358,1886502.88833963
2078,South/Dry,GFDLCM3-rcp45,8443995.22592611,55909.099018836,3394955.43890224,2707.167332,24937.389904,1662360.60227534
2078,North/Moist,GFDLCM3-rcp85,8198740.852266,63129.777663311,2374286.46863045,1680.343185,4657.542113,2039753.09907556
2078,South/Dry,GFDLCM3-rcp85,7454314.65189959,55414.895838656,2232300.89596209,10144.85107,13035.478808,1494475.30320335
2078,North/Moist,HadGEM2ES-rcp45,8715375.10499191,68622.736637181,3323960.69530029,1447.902411,10435.831795,1981033.85762299
2078,South/Dry,HadGEM2ES-rcp45,7913208.24944099,49925.050571428,3011840.69982782,5444.25271,21618.599335,1524973.80905003
2078,North/Moist,HadGEM2ES-rcp85,7550863.82280621,93149.173868713,1640502.28264217,4219.580263,2576.00427,2916297.33934828
2078,South/Dry,HadGEM2ES-rcp85,6118036.08520701,25406.346731704,1012897.68792172,26003.741558,3403.375605,733586.548851495
2078,North/Moist,NoClimate,9964751.99601671,59288.721278543,4121874.08030618,1541.728058,21314.622665,1851896.99866847
2078,South/Dry,NoClimate,9573961.42899398,59259.24126828,4223213.61294054,1427.526003,37754.723888,1703014.04962674
2083,North/Moist,CCSM4-rcp45,9075711.2965628,65724.857375214,3767641.51576172,1234.079214,13141.517654,2075909.78855928
2083,South/Dry,CCSM4-rcp45,8038208.7256767,52806.772810029,3245580.0130791,2942.691163,23735.117436,1662030.73389095
2083,North/Moist,CCSM4-rcp85,8741514.49797829,79745.708778313,2824949.51590224,1447.123529,6770.350654,2364163.71901788
2083,South/Dry,CCSM4-rcp85,7935182.93785889,38788.107633622,2267155.5538468,7615.558391,12887.481779,1037359.86958851
2083,North/Moist,Ensemble-rcp45,9235309.50644561,59734.462254029,3699885.57306988,982.923218,13536.073714,1762229.55033196
2083,South/Dry,Ensemble-rcp45,8842965.9252954,58812.443146347,3634643.7085915,2371.749613,27973.21555,1793310.10791297
2083,North/Moist,Ensemble-rcp85,8529329.2810553,69022.499699897,2692622.80461972,2057.851305,6438.400299,2069214.01601862
2083,South/Dry,Ensemble-rcp85,7685749.9411448,49513.450725398,2186179.01749574,10963.600066,12115.925317,1468091.83866492
2083,North/Moist,GFDLCM3-rcp45,8796648.68528588,65126.582688649,3313249.25629534,1379.775902,10778.580931,1969326.40311397
2083,South/Dry,GFDLCM3-rcp45,8576045.84412179,53420.636626369,3455656.01635008,2728.501099,24950.109713,1599522.26368422
2083,North/Moist,GFDLCM3-rcp85,8085561.93118061,60516.059351693,2153847.36183422,1966.956448,3895.619186,1919968.06308346
2083,South/Dry,GFDLCM3-rcp85,7333797.49897223,58027.994915805,1996391.14077678,12146.77402,10288.582281,1735281.36648293
2083,North/Moist,HadGEM2ES-rcp45,8753249.57122572,70734.449589819,3300661.40356973,1369.741496,10247.325644,2147379.97082924
2083,South/Dry,HadGEM2ES-rcp45,8004236.10986011,47826.779457371,3006331.85030386,6279.382099,21393.085052,1381751.37825023
2083,North/Moist,HadGEM2ES-rcp85,7319414.7619209,95220.517894509,1383768.97012693,5052.026476,1682.042383,2889212.32066549
2083,South/Dry,HadGEM2ES-rcp85,5887241.39010011,23314.565285919,839176.618620184,30045.856254,2241.470213,713346.980669587
2083,North/Moist,NoClimate,10152571.4434739,64042.694385276,4222088.69829022,1371.725735,22906.577867,1931550.32915117
2083,South/Dry,NoClimate,9842218.53225589,54500.131885303,4373231.11793104,1051.85274,38036.342401,1535437.80881536
