start_vol,accretion_vol,mortality_vol,removed_vol,year,climate,acres,district
253126240.452677,21107841.165025,22462787.51279,0.0,2058,Ensemble-rcp85,19606.379064,"Salem District"
254069296.083347,17618332.273685,13865371.886125,0.0,2063,Ensemble-rcp45,16847.886544,"Coos Bay District"
207252234.61087,17416572.989685,11970687.497485,0.0,2063,Ensemble-rcp45,15152.209702,"Eugene District"
26811794.308759,4107524.76793,1642236.987025,0.0,2063,Ensemble-rcp45,7516.759292,"Lakeview District"
393015054.282659,34192731.048625,20280966.828685,0.0,2063,Ensemble-rcp45,42540.8427829999,"Medford District"
261808091.140547,19799958.63417,13634627.53756,0.0,2063,Ensemble-rcp45,20655.179195,"Roseburg District"
267105231.023327,22250056.696625,18917348.68142,0.0,2063,Ensemble-rcp45,19606.379064,"Salem District"
232538837.168032,14097702.13776,21177871.19033,0.0,2063,Ensemble-rcp85,16847.886544,"Coos Bay District"
200419570.496153,15631496.2537,14860388.6001,0.0,2063,Ensemble-rcp85,15152.209702,"Eugene District"
25228600.719666,4121064.43622,1434758.328295,0.0,2063,Ensemble-rcp85,7516.759292,"Lakeview District"
339066907.807112,27430398.912465,30533612.428935,0.0,2063,Ensemble-rcp85,42540.8427829999,"Medford District"
229114668.99097,15284718.93524,22670648.83113,0.0,2063,Ensemble-rcp85,20655.179195,"Roseburg District"
251771755.373634,19941929.903835,21162668.715695,0.0,2063,Ensemble-rcp85,19606.379064,"Salem District"
257823013.254081,16984197.19017,13820358.166315,0.0,2068,Ensemble-rcp45,16847.886544,"Coos Bay District"
212698651.569917,16892211.903135,11802485.29329,0.0,2068,Ensemble-rcp45,15152.209702,"Eugene District"
29275235.651086,4111660.49579,1798585.094675,0.0,2068,Ensemble-rcp45,7516.759292,"Lakeview District"
406898939.774128,34070419.07209,20612112.485465,0.0,2068,Ensemble-rcp45,42540.8427829999,"Medford District"
267958967.377704,19319301.515465,13827096.44883,0.0,2068,Ensemble-rcp45,20655.179195,"Roseburg District"
270438270.149589,21560280.991615,18417551.39949,0.0,2068,Ensemble-rcp45,19606.379064,"Salem District"
225457142.092729,12732826.22135,22634741.256995,0.0,2068,Ensemble-rcp85,16847.886544,"Coos Bay District"
201189841.46579,14364357.072225,17684956.41059,0.0,2068,Ensemble-rcp85,15152.209702,"Eugene District"
27915193.136329,4303323.991985,1565569.67525,0.0,2068,Ensemble-rcp85,7516.759292,"Lakeview District"
335935817.431605,25664552.5453501,33545492.50139,0.0,2068,Ensemble-rcp85,42540.8427829999,"Medford District"
221717951.188368,13361406.621445,26975859.60249,0.0,2068,Ensemble-rcp85,20655.179195,"Roseburg District"
250550266.838029,18751327.556935,21294646.135315,0.0,2068,Ensemble-rcp85,19606.379064,"Salem District"
260985268.033684,16396583.506005,13862270.71112,0.0,2073,Ensemble-rcp45,16847.886544,"Coos Bay District"
217788314.340005,16378388.938455,11840604.780945,0.0,2073,Ensemble-rcp45,15152.209702,"Eugene District"
31589670.687946,4097787.54586,1903229.23109,0.0,2073,Ensemble-rcp45,7516.759292,"Lakeview District"
420324103.353289,33794372.334585,21447457.89975,0.0,2073,Ensemble-rcp45,42540.8427829999,"Medford District"
273436242.134328,18783021.02135,14243142.911005,0.0,2073,Ensemble-rcp45,20655.179195,"Roseburg District"
273581455.071867,20921139.28884,18251680.624895,0.0,2073,Ensemble-rcp45,19606.379064,"Salem District"
215554611.890739,11194169.358315,26461704.603505,0.0,2073,Ensemble-rcp85,16847.886544,"Coos Bay District"
197867565.054095,12844415.41602,21754049.190455,0.0,2073,Ensemble-rcp85,15152.209702,"Eugene District"
30654019.710798,4499556.32327,1638032.7726,0.0,2073,Ensemble-rcp85,7516.759292,"Lakeview District"
328027669.724256,23087055.990865,39365375.9711,0.0,2073,Ensemble-rcp85,42540.8427829999,"Medford District"
208097589.916845,11160354.6764,32423254.59561,0.0,2073,Ensemble-rcp85,20655.179195,"Roseburg District"
248007145.205921,17561032.022325,21909144.38298,0.0,2073,Ensemble-rcp85,19606.379064,"Salem District"
263517175.486115,15785117.13009,13949554.042405,0.0,2078,Ensemble-rcp45,16847.886544,"Coos Bay District"
222324875.903418,15825228.04007,11982644.20518,0.0,2078,Ensemble-rcp45,15152.209702,"Eugene District"
33785476.979456,4083294.35929,1995607.7298,0.0,2078,Ensemble-rcp45,7516.759292,"Lakeview District"
432635954.534524,33159861.06119,22619636.26756,0.0,2078,Ensemble-rcp45,42540.8427829999,"Medford District"
277963783.051215,18193646.27202,14751252.008065,0.0,2078,Ensemble-rcp45,20655.179195,"Roseburg District"
276250973.82626,20336691.075195,18260663.06178,0.0,2078,Ensemble-rcp45,19606.379064,"Salem District"
200286100.04914,9410803.29368,32528001.67587,0.0,2078,Ensemble-rcp85,16847.886544,"Coos Bay District"
188957711.666526,11168442.27421,25775745.776735,0.0,2078,Ensemble-rcp85,15152.209702,"Eugene District"
33512595.836012,4656985.926535,1714734.95693,0.0,2078,Ensemble-rcp85,7516.759292,"Lakeview District"
311720344.167964,20009748.82868,45928949.5389751,0.0,2078,Ensemble-rcp85,42540.8427829999,"Medford District"
186828607.858001,8930525.75594,36844640.842265,0.0,2078,Ensemble-rcp85,20655.179195,"Roseburg District"
