year,district,climate,carbon,timber,standing,fire,owl,cost
2043,"Lakeview District",HadGEM2ES-rcp85,182861.2318458,1384.920500285,34302.247791807,1200.435369,87.088431,14135.257571828
2043,"Medford District",HadGEM2ES-rcp85,3705620.4089446,21585.600243692,1292385.61044797,5139.878761,11796.859337,880943.789104976
2043,"Roseburg District",HadGEM2ES-rcp85,2725885.6243398,22867.256886239,1126712.71362634,1022.560622,5389.580693,741957.183373019
2043,"Salem District",HadGEM2ES-rcp85,2750353.9235658,30854.495279415,1019731.31135267,2571.970044,2532.197295,888053.483142063
2043,"Coos Bay District",NoClimate,2949840.113112,26579.657070127,1245807.84548758,506.679492,4640.24139,926251.769096632
2043,"Eugene District",NoClimate,2313554.9049996,19855.613802179,888418.725672945,1141.108108,3393.760036,611655.776646558
2043,"Lakeview District",NoClimate,221279.525053,1198.679682546,52440.566173328,314.755589,46.365461,13555.823237654
2043,"Medford District",NoClimate,4079105.9970647,18571.370174926,1666420.54516447,4838.920197,18261.349577,657481.231226108
2043,"Roseburg District",NoClimate,2849422.6698209,17747.844768885,1245204.59274327,1091.012283,7950.987794,579795.279742999
2043,"Salem District",NoClimate,3012619.46181509,34608.105063313,1195552.58506488,2390.349793,4472.233417,1012199.86187296
2048,"Coos Bay District",CCSM4-rcp45,2870082.2027648,24864.75639743,1160582.05905127,623.144615,3089.889802,803395.758042109
2048,"Eugene District",CCSM4-rcp45,2268966.9755246,22111.467216378,858597.227057129,467.757739,2590.443354,565684.224473717
2048,"Lakeview District",CCSM4-rcp45,221199.5983639,1900.893149392,61780.488413816,304.780372,73.914203,17338.75461524
2048,"Medford District",CCSM4-rcp45,3665207.7717161,10963.090426561,1213393.62926398,6970.984266,11009.229106,334873.129659927
2048,"Roseburg District",CCSM4-rcp45,2755837.6277306,25988.866346572,1119651.14964765,626.503128,5967.740703,879315.100784267
2048,"Salem District",CCSM4-rcp45,2917740.441273,32720.070489616,1130064.94171754,1764.673953,3317.647708,1066209.09629305
2048,"Coos Bay District",CCSM4-rcp85,2899545.3138245,16627.722357953,1212540.95001683,496.011178,3137.178251,609811.757019199
2048,"Eugene District",CCSM4-rcp85,2300626.8970101,23963.228848619,876298.57308047,589.435261,2772.189003,764833.517466092
2048,"Lakeview District",CCSM4-rcp85,222528.9740975,4744.230435277,64625.798659124,302.025092,89.479783,71224.61807419
2048,"Medford District",CCSM4-rcp85,4179507.0655225,28511.03870232,1678233.45571179,4488.275648,17657.010663,1044016.18698293
2048,"Roseburg District",CCSM4-rcp85,2841190.1466848,17040.24700477,1190814.09889105,822.039196,6347.334589,573618.678446511
2048,"Salem District",CCSM4-rcp85,2877167.3051297,27670.615035383,1090357.90170871,2036.251338,3279.071586,831746.933464054
2048,"Coos Bay District",Ensemble-rcp45,2900977.3993787,22244.933969829,1202045.93895189,606.667148,3228.728649,692723.041359385
2048,"Eugene District",Ensemble-rcp45,2297622.9356128,23847.71535619,877866.828081207,407.79317,2839.283943,680553.532959007
2048,"Lakeview District",Ensemble-rcp45,228827.3519731,2496.902735114,65609.275609351,170.4889,87.372254,36218.316833075
2048,"Medford District",Ensemble-rcp45,4116690.54918,21835.128732245,1609799.40677577,5156.10407,16668.207135,715765.088148832
2048,"Roseburg District",Ensemble-rcp45,2854473.1721361,17926.401258551,1209233.87897132,797.982357,6944.833734,644761.586308975
2048,"Salem District",Ensemble-rcp45,3006178.50543899,30202.553339993,1183205.60263068,1739.001869,3893.26716,885803.862729465
2048,"Coos Bay District",Ensemble-rcp85,2913908.9067821,21777.61361346,1207490.75449264,347.904195,3356.522979,689036.005757926
2048,"Eugene District",Ensemble-rcp85,2309746.9591458,19689.447506565,882726.636048865,509.759226,2880.018598,621638.447169826
2048,"Lakeview District",Ensemble-rcp85,223211.963294,3052.974808543,61991.487090051,135.889718,148.65804,42236.051520889
2048,"Medford District",Ensemble-rcp85,4045809.6727313,29675.370003027,1531817.97351572,4626.004327,15089.992585,1064008.07511897
2048,"Roseburg District",Ensemble-rcp85,2800262.6087763,14128.097428711,1158732.96168202,942.116244,6370.423931,496290.788838392
2048,"Salem District",Ensemble-rcp85,2939749.0054475,30215.897886657,1131235.09461123,1809.558963,3723.403757,990848.178436343
2048,"Coos Bay District",GFDLCM3-rcp45,2899164.1965782,21251.433775785,1206971.94923953,446.089949,3013.033288,721471.953071553
2048,"Eugene District",GFDLCM3-rcp45,2267831.9143958,18503.559667235,861826.155769085,533.08338,2863.214408,558061.710714356
2048,"Lakeview District",GFDLCM3-rcp45,226278.7607576,2600.51585236,71135.455319482,215.174472,109.493869,26065.8498530935
2048,"Medford District",GFDLCM3-rcp45,4145200.273958,22830.840764841,1669489.79220388,4199.037195,17321.232582,787090.519418648
2048,"Roseburg District",GFDLCM3-rcp45,2820619.2426507,14659.095587627,1181752.17505634,633.074919,6590.769177,551081.522137303
2048,"Salem District",GFDLCM3-rcp45,2963223.9887663,38684.630540482,1146048.55840837,1455.254368,3963.725047,1116858.76951703
2048,"Coos Bay District",GFDLCM3-rcp85,2850025.8169996,22583.097968221,1176891.79496537,537.644951,2918.197283,692622.09691935
2048,"Eugene District",GFDLCM3-rcp85,2284394.3562642,18793.334882793,868368.775105382,499.342569,2847.305793,576857.886962309
2048,"Lakeview District",GFDLCM3-rcp85,227437.6145138,1759.096235668,68670.841664287,169.122046,19.324047,18848.908270083
2048,"Medford District",GFDLCM3-rcp85,3996309.8788553,31966.308031058,1539724.09447536,4883.914067,14978.902389,1085407.98368643
2048,"Roseburg District",GFDLCM3-rcp85,2773156.6549226,17929.222779696,1116663.92701065,810.037934,5670.701734,615970.604512311
2048,"Salem District",GFDLCM3-rcp85,2935705.6948486,25519.502088365,1110649.05252729,1666.967239,3312.209155,772396.421689752
2048,"Coos Bay District",HadGEM2ES-rcp45,2868992.4193105,26966.513686533,1185526.25967329,626.822285,3098.380014,856942.217190214
2048,"Eugene District",HadGEM2ES-rcp45,2274753.159072,24690.542089934,864553.761349237,501.605457,2867.860412,753799.237115162
2048,"Lakeview District",HadGEM2ES-rcp45,208610.0700373,2991.404248847,51652.076066215,580.01396,29.234305,28891.040662524
2048,"Medford District",HadGEM2ES-rcp45,3841825.2878368,16376.604469096,1388337.5563919,5400.856844,13783.540049,572784.175881381
2048,"Roseburg District",HadGEM2ES-rcp45,2821893.2396054,19352.586636493,1176944.92403629,790.651474,6654.134765,699324.327789224
2048,"Salem District",HadGEM2ES-rcp45,2959227.5218937,28162.761205892,1151204.07348068,1694.58053,3656.643244,972095.293416572
2048,"Coos Bay District",HadGEM2ES-rcp85,2839278.4274408,19455.652578302,1156705.39802805,567.885012,2868.011785,697562.063274045
2048,"Eugene District",HadGEM2ES-rcp85,2269428.0813199,23323.067270512,855180.780764258,797.211675,2296.982735,756334.652261616
2048,"Lakeview District",HadGEM2ES-rcp85,196853.9460508,2236.055019682,43598.597151681,753.026285,0.0,32907.85686681
2048,"Medford District",HadGEM2ES-rcp85,3806628.0653104,24941.38492122,1282301.42415144,5572.661546,11119.903067,861144.833908388
2048,"Roseburg District",HadGEM2ES-rcp85,2783399.8808931,24626.099746322,1102127.48616533,814.154083,4840.991623,862122.984651523
2048,"Salem District",HadGEM2ES-rcp85,2822420.0499357,23975.654598342,1057156.66324212,2300.949707,2567.971743,672797.056278958
