year,district,climate,carbon
2048,"Roseburg District",GFDLCM3-rcp45,3102726.5710827
2048,"Roseburg District",GFDLCM3-rcp85,3057548.1802307
2048,"Roseburg District",HadGEM2ES-rcp45,3100732.143073
2048,"Roseburg District",HadGEM2ES-rcp85,3045214.3116558
2048,"Roseburg District",NoClimate,3250127.8699643
2048,"Salem District",CCSM4-rcp45,3396498.8950637
2048,"Salem District",CCSM4-rcp85,3424591.3611391
2048,"Salem District",Ensemble-rcp45,3490475.36724559
2048,"Salem District",Ensemble-rcp85,3460145.6327825
2048,"Salem District",GFDLCM3-rcp45,3467755.444349
2048,"Salem District",GFDLCM3-rcp85,3417790.13328849
2048,"Salem District",HadGEM2ES-rcp45,3450425.0948008
2048,"Salem District",HadGEM2ES-rcp85,3354252.8868307
2048,"Salem District",NoClimate,3587573.6940188
2053,"Coos Bay District",CCSM4-rcp45,3301181.979835
2053,"Coos Bay District",CCSM4-rcp85,3315334.44706049
2053,"Coos Bay District",Ensemble-rcp45,3353151.47678149
2053,"Coos Bay District",Ensemble-rcp85,3325948.7547882
2053,"Coos Bay District",GFDLCM3-rcp45,3290762.7388981
2053,"Coos Bay District",GFDLCM3-rcp85,3256838.2897647
2053,"Coos Bay District",HadGEM2ES-rcp45,3313259.26801381
2053,"Coos Bay District",HadGEM2ES-rcp85,3228392.2428583
2053,"Coos Bay District",NoClimate,3504912.9938666
2053,"Eugene District",CCSM4-rcp45,2739570.1707085
2053,"Eugene District",CCSM4-rcp85,2731349.7169843
2053,"Eugene District",Ensemble-rcp45,2773516.0231798
2053,"Eugene District",Ensemble-rcp85,2753970.8888532
2053,"Eugene District",GFDLCM3-rcp45,2738369.3446488
2053,"Eugene District",GFDLCM3-rcp85,2705894.6436121
2053,"Eugene District",HadGEM2ES-rcp45,2747633.2717704
2053,"Eugene District",HadGEM2ES-rcp85,2691798.5327962
2053,"Eugene District",NoClimate,2872082.2477767
2053,"Lakeview District",CCSM4-rcp45,273301.3998941
2053,"Lakeview District",CCSM4-rcp85,285530.8678444
2053,"Lakeview District",Ensemble-rcp45,278308.4616287
2053,"Lakeview District",Ensemble-rcp85,276653.6119547
2053,"Lakeview District",GFDLCM3-rcp45,284317.9557494
2053,"Lakeview District",GFDLCM3-rcp85,292418.7495203
2053,"Lakeview District",HadGEM2ES-rcp45,256074.0287605
2053,"Lakeview District",HadGEM2ES-rcp85,249837.073303
2053,"Lakeview District",NoClimate,306930.7440904
2053,"Medford District",CCSM4-rcp45,4155911.205305
2053,"Medford District",CCSM4-rcp85,4815446.1961009
2053,"Medford District",Ensemble-rcp45,4687943.05358229
2053,"Medford District",Ensemble-rcp85,4602424.6847856
2053,"Medford District",GFDLCM3-rcp45,4742738.03606249
2053,"Medford District",GFDLCM3-rcp85,4600060.0843511
2053,"Medford District",HadGEM2ES-rcp45,4342009.8717538
2053,"Medford District",HadGEM2ES-rcp85,4299945.0587659
2053,"Medford District",NoClimate,4941403.279712
2053,"Roseburg District",CCSM4-rcp45,3176570.3955185
2053,"Roseburg District",CCSM4-rcp85,3214248.7974058
