start_vol,accretion_vol,mortality_vol,removed_vol,year,climate,acres,district
229207678.698812,21464611.411065,12445479.354835,3386230.067645,2048,NoClimate,16847.886544,"Coos Bay District"
171908401.05079,19340873.413285,9929513.34422501,5396341.763561,2048,NoClimate,15152.209702,"Eugene District"
20357527.855127,4442556.75133,579669.590335,292263.932914,2048,NoClimate,7516.759292,"Lakeview District"
360753945.488962,37085198.618275,10029732.08047,4336598.19608,2048,NoClimate,42540.8427829999,"Medford District"
238631304.896616,22621433.63808,10116900.98539,3885373.21387,2048,NoClimate,20655.179195,"Roseburg District"
229276034.671371,25570079.657155,13373510.41517,6740136.205093,2048,NoClimate,19606.379064,"Salem District"
215944732.83106,17388751.577105,9950286.94442,3992865.738879,2053,Ensemble-rcp45,16847.886544,"Coos Bay District"
165230726.023748,16358606.925135,8764492.24948,4853237.636349,2053,Ensemble-rcp45,15152.209702,"Eugene District"
19908610.690716,3816265.593085,993211.526930001,602952.304553,2053,Ensemble-rcp45,7516.759292,"Lakeview District"
338067505.040083,33616015.804915,16777474.557465,4823628.005301,2053,Ensemble-rcp45,42540.8427829999,"Medford District"
225268088.022358,19176842.02989,10944701.87118,4930700.24742,2053,Ensemble-rcp45,20655.179195,"Roseburg District"
218453791.505743,21355850.126655,14692756.7715,4455043.2752,2053,Ensemble-rcp45,19606.379064,"Salem District"
214779086.51868,15690015.97278,13951294.17869,4635731.547017,2053,Ensemble-rcp85,16847.886544,"Coos Bay District"
165227885.876088,15552108.862505,9736966.33995001,5376542.700034,2053,Ensemble-rcp85,15152.209702,"Eugene District"
18911532.560932,3736741.80982,1349542.51604,642841.939513,2053,Ensemble-rcp85,7516.759292,"Lakeview District"
311005544.62046,29261251.622005,26417480.03923,4349536.016763,2053,Ensemble-rcp85,42540.8427829999,"Medford District"
210331653.641683,16614246.41516,16365760.176565,4252835.827217,2053,Ensemble-rcp85,20655.179195,"Roseburg District"
206974645.729003,20001062.94762,15642017.68866,4216565.194146,2053,Ensemble-rcp85,19606.379064,"Salem District"
234841414.356845,20923825.797015,12393577.238215,3821565.232223,2053,NoClimate,16847.886544,"Coos Bay District"
175923837.781334,18743222.38231,9878701.50053002,4715055.258176,2053,NoClimate,15152.209702,"Eugene District"
23927955.163312,4626379.292395,710243.84071,760815.020363,2053,NoClimate,7516.759292,"Lakeview District"
383439022.385036,37433614.202055,11432139.094715,5443191.333388,2053,NoClimate,42540.8427829999,"Medford District"
247239693.450351,22353683.54694,10492109.80963,3631320.575576,2053,NoClimate,20655.179195,"Roseburg District"
234730160.220996,25059560.76913,13377573.75444,5524546.04537,2053,NoClimate,19606.379064,"Salem District"
219389463.503932,16585755.21849,10463360.601765,4370484.994714,2058,Ensemble-rcp45,16847.886544,"Coos Bay District"
167972053.220206,15737181.98502,8546904.21633,3949497.414273,2058,Ensemble-rcp45,15152.209702,"Eugene District"
22129850.83083,3800657.96463,1325014.82541,657386.845656,2058,Ensemble-rcp45,7516.759292,"Lakeview District"
350058802.888221,33198076.710665,18263100.61411,5155642.39802,2058,Ensemble-rcp45,42540.8427829999,"Medford District"
228559943.038465,18466841.682725,10871751.371965,4892352.623328,2058,Ensemble-rcp45,20655.179195,"Roseburg District"
220660729.461404,20597393.127415,14915332.758395,4538442.641199,2058,Ensemble-rcp45,19606.379064,"Salem District"
211881654.21473,13841568.6385,17262330.68113,4826537.048105,2058,Ensemble-rcp85,16847.886544,"Coos Bay District"
165664965.244228,14526621.977625,9956240.35886998,4561727.807261,2058,Ensemble-rcp85,15152.209702,"Eugene District"
20655657.712054,3652717.337465,1494196.820205,1519375.097012,2058,Ensemble-rcp85,7516.759292,"Lakeview District"
309475937.659356,27802752.186795,27070402.112745,5177500.27524,2058,Ensemble-rcp85,42540.8427829999,"Medford District"
206317750.091875,15401692.60033,17568244.30004,2836391.878449,2058,Ensemble-rcp85,20655.179195,"Roseburg District"
207117341.658124,18959808.94476,16297475.062615,5051055.028118,2058,Ensemble-rcp85,19606.379064,"Salem District"
239550500.468449,20418756.317395,12248926.267415,4313444.271403,2058,NoClimate,16847.886544,"Coos Bay District"
180073679.506687,18223686.980595,9755610.76467,4926135.3779,2058,NoClimate,15152.209702,"Eugene District"
27081845.142414,4810481.689675,932540.177295,629920.898599,2058,NoClimate,7516.759292,"Lakeview District"
403968399.241709,37589326.45739,12636616.67689,5014936.877303,2058,NoClimate,42540.8427829999,"Medford District"
255458587.804461,21932921.68135,10699414.93701,3499516.010757,2058,NoClimate,20655.179195,"Roseburg District"
240888171.359179,24599065.32074,13343089.87408,5494565.853835,2058,NoClimate,19606.379064,"Salem District"
221143729.010205,16176618.592445,10219814.858265,3923643.399435,2063,Ensemble-rcp45,16847.886544,"Coos Bay District"
171211383.162508,15320681.981195,8124223.452045,4186856.422269,2063,Ensemble-rcp45,15152.209702,"Eugene District"
23948483.294989,3745305.30524,1110993.26378,1170415.627461,2063,Ensemble-rcp45,7516.759292,"Lakeview District"
359811240.215034,33216432.07553,16478221.963185,5296934.901767,2063,Ensemble-rcp45,42540.8427829999,"Medford District"
231250516.886516,18230541.130475,10152528.964295,3934407.837348,2063,Ensemble-rcp45,20655.179195,"Roseburg District"
221803684.781957,20238463.407635,13818841.632635,4579083.956591,2063,Ensemble-rcp45,19606.379064,"Salem District"
203633455.50394,12731161.393265,16864953.840805,3149246.360832,2063,Ensemble-rcp85,16847.886544,"Coos Bay District"
165672148.126433,13668671.42911,10816048.748665,4332344.764217,2063,Ensemble-rcp85,15152.209702,"Eugene District"
21294559.017947,3793216.25571,985384.44566,843906.753817,2063,Ensemble-rcp85,7516.759292,"Lakeview District"
305007841.137943,26472363.540185,25512581.673275,5097907.635407,2063,Ensemble-rcp85,42540.8427829999,"Medford District"
201307205.934359,13996564.801535,18892606.192495,3697683.196483,2063,Ensemble-rcp85,20655.179195,"Roseburg District"
204732446.043575,18069488.320915,15266034.45421,5759987.128523,2063,Ensemble-rcp85,19606.379064,"Salem District"
243408532.209735,20187596.89431,12151058.72481,2714901.20077,2063,NoClimate,16847.886544,"Coos Bay District"
183618157.16589,17916646.892435,9619623.71862,3893661.241807,2063,NoClimate,15152.209702,"Eugene District"
30329594.205086,4857431.313865,1173389.742045,854743.769299,2063,NoClimate,7516.759292,"Lakeview District"
423881162.758904,37609033.09049,13730287.31207,5667725.459163,2063,NoClimate,42540.8427829999,"Medford District"
263181261.229577,21565313.31256,10905718.857245,4771991.829402,2063,NoClimate,20655.179195,"Roseburg District"
246650734.412779,24355799.106725,13226521.88816,5399387.139222,2063,NoClimate,19606.379064,"Salem District"
223176046.760307,15667413.69361,10177346.91261,3916259.050199,2068,Ensemble-rcp45,16847.886544,"Coos Bay District"
